Date_Key,Date,Year,Quarter,Year_Quarter,Month,Month_Name,Month_Short,Day_Of_Week,Day_Name,Is_Weekend,Is_Trading_Day
20020213,2002-02-13,2002,Q1,2002-Q1,2,February,Feb,3,Wednesday,0,1
20020214,2002-02-14,2002,Q1,2002-Q1,2,February,Feb,4,Thursday,0,1
20020215,2002-02-15,2002,Q1,2002-Q1,2,February,Feb,5,Friday,0,1
20020216,2002-02-16,2002,Q1,2002-Q1,2,February,Feb,6,Saturday,1,0
20020217,2002-02-17,2002,Q1,2002-Q1,2,February,Feb,7,Sunday,1,0
20020218,2002-02-18,2002,Q1,2002-Q1,2,February,Feb,1,Monday,0,0
20020219,2002-02-19,2002,Q1,2002-Q1,2,February,Feb,2,Tuesday,0,1
20020220,2002-02-20,2002,Q1,2002-Q1,2,February,Feb,3,Wednesday,0,1
20020221,2002-02-21,2002,Q1,2002-Q1,2,February,Feb,4,Thursday,0,1
20020222,2002-02-22,2002,Q1,2002-Q1,2,February,Feb,5,Friday,0,1
20020223,2002-02-23,2002,Q1,2002-Q1,2,February,Feb,6,Saturday,1,0
20020224,2002-02-24,2002,Q1,2002-Q1,2,February,Feb,7,Sunday,1,0
20020225,2002-02-25,2002,Q1,2002-Q1,2,February,Feb,1,Monday,0,1
20020226,2002-02-26,2002,Q1,2002-Q1,2,February,Feb,2,Tuesday,0,1
20020227,2002-02-27,2002,Q1,2002-Q1,2,February,Feb,3,Wednesday,0,1
20020228,2002-02-28,2002,Q1,2002-Q1,2,February,Feb,4,Thursday,0,1
20020301,2002-03-01,2002,Q1,2002-Q1,3,March,Mar,5,Friday,0,1
20020302,2002-03-02,2002,Q1,2002-Q1,3,March,Mar,6,Saturday,1,0
20020303,2002-03-03,2002,Q1,2002-Q1,3,March,Mar,7,Sunday,1,0
20020304,2002-03-04,2002,Q1,2002-Q1,3,March,Mar,1,Monday,0,1
20020305,2002-03-05,2002,Q1,2002-Q1,3,March,Mar,2,Tuesday,0,1
20020306,2002-03-06,2002,Q1,2002-Q1,3,March,Mar,3,Wednesday,0,1
20020307,2002-03-07,2002,Q1,2002-Q1,3,March,Mar,4,Thursday,0,1
20020308,2002-03-08,2002,Q1,2002-Q1,3,March,Mar,5,Friday,0,1
20020309,2002-03-09,2002,Q1,2002-Q1,3,March,Mar,6,Saturday,1,0
20020310,2002-03-10,2002,Q1,2002-Q1,3,March,Mar,7,Sunday,1,0
20020311,2002-03-11,2002,Q1,2002-Q1,3,March,Mar,1,Monday,0,1
20020312,2002-03-12,2002,Q1,2002-Q1,3,March,Mar,2,Tuesday,0,1
20020313,2002-03-13,2002,Q1,2002-Q1,3,March,Mar,3,Wednesday,0,1
20020314,2002-03-14,2002,Q1,2002-Q1,3,March,Mar,4,Thursday,0,1
20020315,2002-03-15,2002,Q1,2002-Q1,3,March,Mar,5,Friday,0,1
20020316,2002-03-16,2002,Q1,2002-Q1,3,March,Mar,6,Saturday,1,0
20020317,2002-03-17,2002,Q1,2002-Q1,3,March,Mar,7,Sunday,1,0
20020318,2002-03-18,2002,Q1,2002-Q1,3,March,Mar,1,Monday,0,1
20020319,2002-03-19,2002,Q1,2002-Q1,3,March,Mar,2,Tuesday,0,1
20020320,2002-03-20,2002,Q1,2002-Q1,3,March,Mar,3,Wednesday,0,1
20020321,2002-03-21,2002,Q1,2002-Q1,3,March,Mar,4,Thursday,0,1
20020322,2002-03-22,2002,Q1,2002-Q1,3,March,Mar,5,Friday,0,1
20020323,2002-03-23,2002,Q1,2002-Q1,3,March,Mar,6,Saturday,1,0
20020324,2002-03-24,2002,Q1,2002-Q1,3,March,Mar,7,Sunday,1,0
20020325,2002-03-25,2002,Q1,2002-Q1,3,March,Mar,1,Monday,0,1
20020326,2002-03-26,2002,Q1,2002-Q1,3,March,Mar,2,Tuesday,0,1
20020327,2002-03-27,2002,Q1,2002-Q1,3,March,Mar,3,Wednesday,0,1
20020328,2002-03-28,2002,Q1,2002-Q1,3,March,Mar,4,Thursday,0,1
20020329,2002-03-29,2002,Q1,2002-Q1,3,March,Mar,5,Friday,0,0
20020330,2002-03-30,2002,Q1,2002-Q1,3,March,Mar,6,Saturday,1,0
20020331,2002-03-31,2002,Q1,2002-Q1,3,March,Mar,7,Sunday,1,0
20020401,2002-04-01,2002,Q2,2002-Q2,4,April,Apr,1,Monday,0,1
20020402,2002-04-02,2002,Q2,2002-Q2,4,April,Apr,2,Tuesday,0,1
20020403,2002-04-03,2002,Q2,2002-Q2,4,April,Apr,3,Wednesday,0,1
20020404,2002-04-04,2002,Q2,2002-Q2,4,April,Apr,4,Thursday,0,1
20020405,2002-04-05,2002,Q2,2002-Q2,4,April,Apr,5,Friday,0,1
20020406,2002-04-06,2002,Q2,2002-Q2,4,April,Apr,6,Saturday,1,0
20020407,2002-04-07,2002,Q2,2002-Q2,4,April,Apr,7,Sunday,1,0
20020408,2002-04-08,2002,Q2,2002-Q2,4,April,Apr,1,Monday,0,1
20020409,2002-04-09,2002,Q2,2002-Q2,4,April,Apr,2,Tuesday,0,1
20020410,2002-04-10,2002,Q2,2002-Q2,4,April,Apr,3,Wednesday,0,1
20020411,2002-04-11,2002,Q2,2002-Q2,4,April,Apr,4,Thursday,0,1
20020412,2002-04-12,2002,Q2,2002-Q2,4,April,Apr,5,Friday,0,1
20020413,2002-04-13,2002,Q2,2002-Q2,4,April,Apr,6,Saturday,1,0
20020414,2002-04-14,2002,Q2,2002-Q2,4,April,Apr,7,Sunday,1,0
20020415,2002-04-15,2002,Q2,2002-Q2,4,April,Apr,1,Monday,0,1
20020416,2002-04-16,2002,Q2,2002-Q2,4,April,Apr,2,Tuesday,0,1
20020417,2002-04-17,2002,Q2,2002-Q2,4,April,Apr,3,Wednesday,0,1
20020418,2002-04-18,2002,Q2,2002-Q2,4,April,Apr,4,Thursday,0,1
20020419,2002-04-19,2002,Q2,2002-Q2,4,April,Apr,5,Friday,0,1
20020420,2002-04-20,2002,Q2,2002-Q2,4,April,Apr,6,Saturday,1,0
20020421,2002-04-21,2002,Q2,2002-Q2,4,April,Apr,7,Sunday,1,0
20020422,2002-04-22,2002,Q2,2002-Q2,4,April,Apr,1,Monday,0,1
20020423,2002-04-23,2002,Q2,2002-Q2,4,April,Apr,2,Tuesday,0,1
20020424,2002-04-24,2002,Q2,2002-Q2,4,April,Apr,3,Wednesday,0,1
20020425,2002-04-25,2002,Q2,2002-Q2,4,April,Apr,4,Thursday,0,1
20020426,2002-04-26,2002,Q2,2002-Q2,4,April,Apr,5,Friday,0,1
20020427,2002-04-27,2002,Q2,2002-Q2,4,April,Apr,6,Saturday,1,0
20020428,2002-04-28,2002,Q2,2002-Q2,4,April,Apr,7,Sunday,1,0
20020429,2002-04-29,2002,Q2,2002-Q2,4,April,Apr,1,Monday,0,1
20020430,2002-04-30,2002,Q2,2002-Q2,4,April,Apr,2,Tuesday,0,1
20020501,2002-05-01,2002,Q2,2002-Q2,5,May,May,3,Wednesday,0,1
20020502,2002-05-02,2002,Q2,2002-Q2,5,May,May,4,Thursday,0,1
20020503,2002-05-03,2002,Q2,2002-Q2,5,May,May,5,Friday,0,1
20020504,2002-05-04,2002,Q2,2002-Q2,5,May,May,6,Saturday,1,0
20020505,2002-05-05,2002,Q2,2002-Q2,5,May,May,7,Sunday,1,0
20020506,2002-05-06,2002,Q2,2002-Q2,5,May,May,1,Monday,0,1
20020507,2002-05-07,2002,Q2,2002-Q2,5,May,May,2,Tuesday,0,1
20020508,2002-05-08,2002,Q2,2002-Q2,5,May,May,3,Wednesday,0,1
20020509,2002-05-09,2002,Q2,2002-Q2,5,May,May,4,Thursday,0,1
20020510,2002-05-10,2002,Q2,2002-Q2,5,May,May,5,Friday,0,1
20020511,2002-05-11,2002,Q2,2002-Q2,5,May,May,6,Saturday,1,0
20020512,2002-05-12,2002,Q2,2002-Q2,5,May,May,7,Sunday,1,0
20020513,2002-05-13,2002,Q2,2002-Q2,5,May,May,1,Monday,0,1
20020514,2002-05-14,2002,Q2,2002-Q2,5,May,May,2,Tuesday,0,1
20020515,2002-05-15,2002,Q2,2002-Q2,5,May,May,3,Wednesday,0,1
20020516,2002-05-16,2002,Q2,2002-Q2,5,May,May,4,Thursday,0,1
20020517,2002-05-17,2002,Q2,2002-Q2,5,May,May,5,Friday,0,1
20020518,2002-05-18,2002,Q2,2002-Q2,5,May,May,6,Saturday,1,0
20020519,2002-05-19,2002,Q2,2002-Q2,5,May,May,7,Sunday,1,0
20020520,2002-05-20,2002,Q2,2002-Q2,5,May,May,1,Monday,0,1
20020521,2002-05-21,2002,Q2,2002-Q2,5,May,May,2,Tuesday,0,1
20020522,2002-05-22,2002,Q2,2002-Q2,5,May,May,3,Wednesday,0,1
20020523,2002-05-23,2002,Q2,2002-Q2,5,May,May,4,Thursday,0,1
20020524,2002-05-24,2002,Q2,2002-Q2,5,May,May,5,Friday,0,1
