Company_Key,Quarter_End_Date,Date_Key,Fiscal_Year,Fiscal_Quarter,Fiscal_Period,Revenue_Millions,YoY_Growth_Pct,QoQ_Growth_Pct,Source
GME,2005-01-31,20050131,2005,Q1,2005-Q1,709.0,,,IBM_Historical
GME,2005-04-30,20050430,2005,Q2,2005-Q2,475.0,,-0.33,IBM_Historical
GME,2005-07-31,20050731,2005,Q3,2005-Q3,416.0,,-0.1242,IBM_Historical
GME,2005-10-31,20051031,2005,Q4,2005-Q4,534.0,,0.2837,IBM_Historical
GME,2006-01-31,20060131,2006,Q1,2006-Q1,1667.0,1.3512,2.1217,IBM_Historical
GME,2006-04-30,20060430,2006,Q2,2006-Q2,1040.0,1.1895,-0.3761,IBM_Historical
GME,2006-07-31,20060731,2006,Q3,2006-Q3,963.0,1.3149,-0.074,IBM_Historical
GME,2006-10-31,20061031,2006,Q4,2006-Q4,1012.0,0.8951,0.0509,IBM_Historical
GME,2007-01-31,20070131,2007,Q1,2007-Q1,2304.0,0.3821,1.2767,IBM_Historical
GME,2007-04-30,20070430,2007,Q2,2007-Q2,1279.0,0.2298,-0.4449,IBM_Historical
GME,2007-07-31,20070731,2007,Q3,2007-Q3,1338.0,0.3894,0.0461,IBM_Historical
GME,2007-10-31,20071031,2007,Q4,2007-Q4,1611.0,0.5919,0.204,IBM_Historical
GME,2008-01-31,20080131,2008,Q1,2008-Q1,2866.0,0.2439,0.779,IBM_Historical
GME,2008-04-30,20080430,2008,Q2,2008-Q2,1814.0,0.4183,-0.3671,IBM_Historical
GME,2008-07-31,20080731,2008,Q3,2008-Q3,1804.0,0.3483,-0.0055,IBM_Historical
GME,2008-10-31,20081031,2008,Q4,2008-Q4,1696.0,0.0528,-0.0599,IBM_Historical
GME,2009-01-31,20090131,2009,Q1,2009-Q1,3492.0,0.2184,1.059,IBM_Historical
GME,2009-04-30,20090430,2009,Q2,2009-Q2,1981.0,0.0921,-0.4327,IBM_Historical
GME,2009-07-31,20090731,2009,Q3,2009-Q3,1739.0,-0.036,-0.1222,IBM_Historical
GME,2009-10-31,20091031,2009,Q4,2009-Q4,1835.0,0.082,0.0552,IBM_Historical
